uid,vid,rate,time
102,435,3,0
860,270,3,1
106,71,3,2
700,20,3,3
614,121,3,4
466,214,3,5
330,458,4,6
87,372,2,7
99,359,3,8
663,130,3,9
661,308,2,10
769,343,3,11
491,413,2,12
805,385,3,13
191,443,4,14
276,160,3,15
459,313,2,16
21,252,3,17
747,344,2,18
560,474,4,19
58,169,3,20
475,187,3,21
975,270,3,22
189,445,3,23
686,445,3,24
562,363,4,25
566,243,3,26
831,130,2,27
484,306,3,28
646,20,3,29
840,166,3,30
273,387,4,31
600,315,4,32
13,241,3,33
776,345,3,34
564,385,3,35
339,91,3,36
366,443,3,37
454,427,4,38
508,263,3,39
942,34,3,40
205,80,3,41
931,49,3,42
871,387,3,43
1,389,4,44
565,105,3,45
771,309,3,46
476,190,3,47
401,217,4,48
555,161,4,49
201,445,3,50
995,269,2,51
862,303,3,52
270,455,4,53
461,214,3,54
251,189,3,55
295,212,3,56
719,236,3,57
337,366,3,58
52,279,2,59
921,216,4,60
763,187,2,61
379,492,2,62
40,156,4,63
14,300,4,64
64,344,3,65
838,8,3,66
343,128,3,67
647,471,3,68
62,138,3,69
498,80,3,70
391,162,3,71
418,288,3,72
378,260,3,73
489,230,2,74
40,27,2,75
134,200,3,76
839,267,4,77
929,32,4,78
47,406,3,79
573,215,3,80
804,98,3,81
683,359,2,82
725,474,3,83
546,448,3,84
738,100,3,85
942,461,3,86
642,256,3,87
4,217,3,88
502,254,3,89
397,358,2,90
794,392,2,91
206,14,2,92
857,41,4,93
891,460,3,94
690,62,3,95
863,230,2,96
240,51,3,97
95,387,3,98
733,484,3,99
406,230,4,100
748,142,3,101
170,28,3,102
35,12,2,103
159,326,3,104
698,242,2,105
85,283,4,106
577,169,4,107
556,61,2,108
952,133,3,109
795,27,2,110
619,43,3,111
339,285,4,112
957,330,2,113
639,347,3,114
472,230,2,115
189,224,1,116
384,376,4,117
282,445,3,118
632,115,3,119
972,232,3,120
258,358,3,121
709,455,3,122
410,136,2,123
317,164,2,124
224,306,3,125
233,171,3,126
663,462,3,127
826,373,2,128
671,95,2,129
471,232,3,130
691,112,4,131
829,496,3,132
441,51,4,133
267,294,2,134
385,386,4,135
112,100,3,136
624,439,3,137
80,186,2,138
112,1,3,139
641,219,3,140
565,342,3,141
996,223,3,142
224,384,3,143
402,125,3,144
129,52,2,145
683,217,3,146
671,197,3,147
415,246,3,148
835,438,3,149
202,183,3,150
122,400,3,151
766,293,3,152
279,324,3,153
883,97,3,154
197,469,3,155
906,239,3,156
143,96,3,157
200,123,3,158
186,325,3,159
463,348,3,160
770,147,3,161
763,442,3,162
931,402,3,163
345,450,3,164
510,146,3,165
147,351,3,166
710,307,2,167
488,416,3,168
935,127,3,169
550,337,4,170
871,128,3,171
778,475,3,172
952,472,2,173
945,150,4,174
414,477,3,175
297,98,3,176
262,251,3,177
143,345,3,178
623,499,3,179
571,368,3,180
1,384,2,181
303,253,3,182
651,452,2,183
36,159,2,184
8,232,3,185
98,146,2,186
815,207,2,187
130,403,3,188
151,53,2,189
119,160,3,190
919,115,1,191
586,112,3,192
967,419,3,193
421,103,3,194
851,253,3,195
226,111,4,196
509,472,3,197
98,152,4,198
860,401,2,199
895,365,2,200
337,193,3,201
821,162,3,202
719,444,1,203
680,483,3,204
160,67,3,205
800,397,3,206
276,303,3,207
915,383,3,208
391,134,3,209
194,400,3,210
639,32,3,211
687,459,2,212
954,370,2,213
469,374,2,214
21,237,4,215
669,37,4,216
229,364,3,217
562,437,3,218
775,282,4,219
26,225,3,220
276,285,3,221
608,283,3,222
878,447,3,223
480,452,4,224
828,303,3,225
658,3,4,226
546,191,2,227
48,16,4,228
171,219,3,229
157,476,3,230
45,372,4,231
517,98,4,232
891,232,3,233
36,279,3,234
348,496,3,235
301,180,2,236
606,98,4,237
699,480,3,238
115,190,3,239
252,468,2,240
927,470,3,241
160,255,3,242
322,127,3,243
17,280,2,244
734,53,3,245
569,322,3,246
871,173,3,247
791,113,3,248
287,430,3,249
853,150,3,250
961,126,4,251
154,489,3,252
385,473,3,253
784,103,3,254
928,392,3,255
810,245,3,256
175,38,2,257
476,169,2,258
758,25,3,259
866,305,2,260
920,407,2,261
524,315,5,262
505,390,3,263
824,35,4,264
684,19,3,265
320,263,3,266
511,493,3,267
399,141,2,268
971,370,3,269
470,142,3,270
91,353,3,271
833,287,3,272
726,446,4,273
853,50,3,274
664,185,3,275
574,189,2,276
124,149,4,277
313,57,2,278
341,304,3,279
691,169,3,280
837,270,4,281
53,490,3,282
443,100,2,283
992,263,3,284
52,59,3,285
619,4,4,286
102,195,4,287
773,364,3,288
991,371,3,289
349,46,2,290
866,310,3,291
935,307,3,292
655,268,4,293
369,123,3,294
105,157,3,295
658,144,3,296
119,318,2,297
786,91,3,298
57,438,2,299
345,228,3,300
473,116,3,301
829,278,2,302
126,392,3,303
907,128,3,304
57,121,2,305
512,238,3,306
801,95,4,307
637,117,3,308
559,88,3,309
487,236,3,310
884,384,3,311
271,188,2,312
998,191,3,313
446,68,3,314
789,348,2,315
246,450,3,316
75,153,3,317
655,434,4,318
996,85,3,319
696,284,3,320
973,219,3,321
68,46,2,322
93,237,2,323
957,499,3,324
452,203,3,325
911,217,3,326
473,431,4,327
340,38,3,328
611,288,3,329
253,221,3,330
356,22,3,331
761,9,2,332
757,324,3,333
99,289,3,334
179,222,3,335
905,249,3,336
658,441,3,337
607,256,3,338
324,492,3,339
515,15,3,340
791,335,3,341
758,257,3,342
496,475,3,343
895,159,4,344
474,339,2,345
663,395,3,346
689,162,3,347
379,32,2,348
928,444,3,349
690,426,4,350
612,267,3,351
834,64,4,352
416,167,4,353
841,42,2,354
555,284,2,355
396,11,3,356
606,301,2,357
897,252,3,358
498,241,4,359
34,214,4,360
848,89,3,361
775,92,3,362
921,457,2,363
601,417,3,364
114,104,3,365
902,195,4,366
825,113,3,367
492,74,2,368
412,375,3,369
419,216,4,370
276,248,3,371
675,393,3,372
868,456,3,373
919,191,4,374
738,176,3,375
98,495,4,376
547,465,3,377
998,95,3,378
663,150,3,379
189,223,2,380
36,267,3,381
368,182,4,382
524,278,2,383
216,354,3,384
872,285,3,385
272,368,3,386
61,83,3,387
879,216,3,388
341,396,3,389
698,18,2,390
176,99,3,391
395,444,3,392
232,402,3,393
75,264,2,394
